mes_año;acum12meses
01/01;5
02/01;4,95
03/01;4,7
04/01;5,09
05/01;5,27
06/01;4,29
07/01;4,81
08/01;3,97
09/01;3,88
10/01;3,45
11/01;3,49
12/01;3,59
01/02;4,15
02/02;4,54
03/02;5,07
04/02;5,9
05/02;6,49
06/02;8,85
07/02;13,15
08/02;20,09
09/02;23,45
10/02;24,31
11/02;24,74
12/02;25,94
01/03;27,19
02/03;28,06
03/03;28,51
04/03;27,68
05/03;26,65
06/03;24,64
07/03;19,46
08/03;14,19
09/03;11,63
10/03;11,14
11/03;10,84
12/03;10,19
01/04;10,53
02/04;9,07
03/04;8,38
04/04;8,68
05/04;9,41
06/04;9,59
07/04;10,15
08/04;10,17
09/04;9,59
10/04;8,66
11/04;8,2
12/04;7,59
01/05;5,68
02/05;5,66
03/05;5,48
04/05;5,27
05/05;4,2
06/05;4,14
07/05;4,42
08/05;3,42
09/05;3,95
10/05;4,62
11/05;4,77
12/05;4,9
01/06;5,94
02/06;6,65
03/06;6,53
04/06;6
05/06;6,64
06/06;6,7
07/06;6,24
08/06;6,85
09/06;6,6
10/06;6,05
11/06;6,21
12/06;6,38
01/07;6,81
02/07;6,75
03/07;7,36
04/07;8,11
05/07;8,25
06/07;8,05
07/07;8,03
08/07;9,03
09/07;8,9
10/07;8,87
11/07;8,58
12/07;8,5
01/08;7,44
02/08;7,77
03/08;8,03
04/08;7,08
05/08;7,2
06/08;8,42
07/08;8,02
08/08;7,26
09/08;7,46
10/08;8,06
11/08;8,51
12/08;9,19
01/09;9,21
02/09;7,93
03/09;7,53
04/09;7,13
05/09;6,63
06/09;6,48
07/09;7,06
08/09;7,28
09/09;6,89
10/09;6,53
11/09;6,39
12/09;5,9
01/10;6,05
02/10;6,93
03/10;7,12
04/10;7,35
05/10;7,09
06/10;6,19
07/10;6,29
08/10;6,25
09/10;6,32
10/10;7,02
11/10;6,87
12/10;6,93
01/11;7,27
02/11;7,67
03/11;8,17
04/11;8,34
05/11;8,53
06/11;8,61
07/11;8,25
08/11;7,57
09/11;7,79
10/11;7,88
11/11;8,4
12/11;8,6
01/12;8,05
02/12;7,94
03/12;7,48
04/12;7,99
05/12;8,06
06/12;8
07/12;7,48
08/12;7,88
09/12;8,64
10/12;9,11
11/12;9,03
12/12;7,48
01/13;8,72
02/13;8,89
03/13;8,54
04/13;8,14
05/13;8,06
06/13;8,21
07/13;8,75
08/13;8,86
09/13;9,02
10/13;8,67
11/13;8,51
12/13;8,52
01/14;9,1
02/14;9,82
03/14;9,73
04/14;9,18
05/14;9,18
06/14;9,08
07/14;9,06
08/14;8,75
09/14;8,36
10/14;8,11
11/14;8,05
12/14;8,26
01/15;8,02
02/15;7,43
03/15;7,55
04/15;8,23
05/15;8,41
06/15;8,53
07/15;9,02
08/15;9,48
09/15;9,14
10/15;9,15
11/15;9,46
12/15;9,44
01/16;9,68
02/16;10,23
03/16;10,6
04/16;10,47
05/16;11
06/16;10,94
07/16;10,05
08/16;9,38
09/16;8,9
10/16;8,45
11/16;8,1
12/16;8,1
01/17;8,27
02/17;7,09
03/17;6,71
04/17;6,46
05/17;5,58
06/17;5,31
07/17;5,24
08/17;5,45
09/17;5,75
10/17;6,04
11/17;6,3
12/17;6,55
01/18;6,67
02/18;7,07
03/18;6,65
04/18;6,49
05/18;7,21
06/18;8,11
07/18;8,41
08/18;8,31
09/18;8,26
10/18;8,01
11/18;8,05
12/18;7,96
01/19;7,39
02/19;7,49
03/19;7,78
04/19;8,17
05/19;7,73
06/19;7,36
07/19;7,54
08/19;7,76
09/19;7,78
10/19;8,34
11/19;8,4
12/19;8,79
01/20;8,71
02/20;8,32
03/20;9,16
04/20;10,86
05/20;11,05
06/20;10,36
07/20;10,13
08/20;9,79
09/20;9,92
10/20;9,74
11/20;9,59
12/20;9,41
01/21;8,89
02/21;9,12
03/21;8,34
04/21;6,76
05/21;6,64
06/21;7,33
07/21;7,3
08/21;7,59
09/21;7,41
10/21;7,89
11/21;7,86
12/21;7,96
01/22;8,15
02/22;8,85
03/22;9,38
04/22;9,37
05/22;9,37
06/22;9,29
07/22;9,56
08/22;9,53
